,brand,img_url,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,ratings_5max,disk_type
144,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),15.4,Intel Core i7 6 Core,Radeon Pro 560X GDDR5 (4 GB),512.0,10699.0,4.4,SSD
145,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNRRaA1qAuyL-0uShp11H2_jGMMoCcNzserjZKTJSvf8Qm9GU9ti9TsKj4ug&s,ENVY 13-ad002nx,13.3,Intel Core i7-7500U,Intel Graphics 620,512.0,3539.0,4.1,SSD
146,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook,12.0,Intel Core M3,Intel HD Graphics 615,256.0,4669.0,5.0,SSD
147,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_txOrixCkyGxvGmfkM_AtCd3gheIZSX9CCpePsegn4hOwlj4cEpen6ZgVyVA&s,Pavilion 15-cs0006nx,15.6,Intel Core i7-8550U,NVIDIA GeForce MX150 (4 GB),128.0,2979.0,3.9,HDD
148,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZ6C7SZStiFGqgalXoLVbrKX9m5VOFiP7OobHSYiNUyuYHEtoPEo00n-ez&s,VivoBook 15 X510UF,15.6,Intel Core i7-8550U,NVIDIA GeForce MX130 (2 GB),128.0,2599.0,0.0,HDD
149,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmLE4MJ8f9ecojD4Wp0JbeBnf68RBbaSYwNmq6TAJs2bHD9h65cYAeGFFn6bY&s,VivoBook S430,14.0,Intel Core i5-8250U,NVIDIA GeForce MX130 (2 GB),256.0,2499.0,0.0,HDD
150,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ48yj4IIG5KTHzlXD-OqCfdkTG_RvDvRJGRPgASmuXVThx-lWfkdfU-3lGwHA&s,Pavilion 15-cs0001nx,15.6,Intel Core i5-8250U,NVIDIA GeForce MX130 (2 GB),16.0,2409.0,0.0,HDD
151,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5FSI7hO9oKUOIeVg1SbAeQ5qEp4Xm7sJ2mBYDN2yxAcUKOqXh9WWWpVXeQw&s,Pavilion 15-cs0000nx,15.6,Intel Core i5-8250U,NVIDIA GeForce MX130 (2 GB),16.0,2409.0,0.0,HDD
152,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbxubWqpD-2ZZ4UvrCeVZIJo17jFvLMaS5-TA0F9GZVxQosGu5HwEk4RiEIkU&s,Swift 3 SF314-54G-87HB,14.0,Intel Core i7-8550U,NVIDIA GeForce MX150 (2 GB),1024.0,3399.0,0.0,HDD
153,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrGMEsgE0zUx8LJFmfXkUVeJ2dEE_An3cicDEtC7n5t198c9fDEREXZbyn9g&s,VivoBook 15 X507UB,15.6,Intel Core i5-8250U,NVIDIA GeForce MX110 (2 GB),128.0,2099.0,0.0,HDD
154,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcwVCoGoEhbs2ozSNpNC7W4VgJ_1sL_ZM06i-TEVDDGLUs3wk8MjapS4z9HA&s,15-bs150nx,15.6,Intel Core i3-5005U,Intel GMA HD,500.0,1199.0,0.0,HDD
155,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbKVT0EXbo2wa9UbPqhvXtGrua0ID_jX_X7SyZFCUjabjRYrvTgHcAEDOJ_OI&s,Inspiron 3567,15.6,Intel Core i3-6006U,Intel GMA HD,1024.0,1429.0,0.0,HDD
156,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),13.3,Intel Core i5 Dual Core,Intel Iris Plus Graphics 640,128.0,5269.0,4.6,SSD
157,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3EF0H-b6xAZwNBt6u_Hjs-7ktWUWVCsYWk-Q22I81d3mqGRSDxLJCTrjns9A&s,IdeaPad 330S-15IKB,15.6,Intel Core i5-8250U,AMD Radeon 535 (2 GB),1024.0,2169.0,4.0,HDD
158,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsXbS6CvZwAChz9QQ9QUJJdXAjI90cukYkiX_pi8zBMFsdXpYBM0cFivI-0Hs&s,Aspire 3 A315-53-34CE,15.6,Intel Core i3-7020U,Intel Graphics 620,1024.0,1239.0,4.0,HDD
159,Asus,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtS9qCr2FDYRzIYuNAtkkM_qLhIIdaGjcK7vw2DVPE2Gud2pBBfCIVDNspUAw&s,VivoBook 15 X540UA,15.6,Intel Core i5-8250U,Intel HD Graphics 620,1024.0,1599.0,5.0,HDD
160,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2P_-2c_OKUDY4ltrf__v060DoTUyw-X178_Go-0S7UBhebk8l_HijZcMHdYw&s,IdeaPad 330-15IGM,14.0,Intel Core i3-8130U,Intel HD Graphics 620,2048.0,1589.0,3.6,HDD
161,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYwdGgbYFQchfi2y4IEXZvlWDv93BCZh62bJ9Qqxr2JNb2u87TlfWVx3BFg&s,IdeaPad 330S-14IKB,14.0,Intel Core i5-8250U,Intel UHD Graphics 620,1024.0,1849.0,3.3,HDD
162,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZYwdGgbYFQchfi2y4IEXZvlWDv93BCZh62bJ9Qqxr2JNb2u87TlfWVx3BFg&s,IdeaPad 330S-14IKB,14.0,Intel Core i3-8130U,Intel HD Graphics 620,2048.0,1699.0,3.3,HDD
163,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdIDNlphDgWNRnhXnQagzq_o4P9FNE-868SE1ZN1WekgO4zslaJwCb5CZhFQ&s,14-bp101nx,14.0,Intel Core i5-8250U,AMD Radeon 530 (2 GB),1024.0,2519.0,5.0,HDD
164,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_BSrAu0CAb3LY2SiFuWJZAqK9h0Nq6YSjwpo5Y52Zpq7QZazkZYXcDkpsPQ&s,MacBook Pro (Retina),15.4,Intel Core i7 Quad Core,Intel Iris Pro Graphics,256.0,8189.0,4.5,SSD
165,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUcxwUCgukDAoy_NC_G23AolgLzAAuAvNrWuwyg2EL4ISuRsl23UXd5BR2IAQ&s,14-ck0008nx,14.0,Intel Celeron N4000,Intel HD Graphics 600,500.0,1369.0,0.0,HDD
166,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcScmSktuc2pVf7gahzOza0GmDMcvV_HHlcnikwe2a4HgEiJrv9vTL28GZoSvw0&s,15-da0007nx,15.6,Intel Core i3-7020U,Intel HD Graphics 620,1024.0,1779.0,5.0,HDD
167,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ26DkloeLYDJro981v6dsd22J810LjbvdqXMSPSYOxBAzPcIqSVqzFr0h5VMs&s,15-da0035nx,15.6,Intel Core i7-8550U,Intel UHD Graphics 620,1024.0,2299.0,3.0,HDD
168,Apple,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz_70dNJ0OcpFt0uBEQYQIZTgDnCAT8qSMfydVvs2eLh-2vVxQmZ6iyPfkVuU&s,MacBook Pro (Retina + Touch Bar),13.3,Intel Core i5 Dual Core,Intel Iris Plus Graphics 650,512.0,8499.0,0.0,SSD
169,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTeJn0ntb0dSN77ufYL5Snr9ImGJnBD57duPIA_EAkD-qe49l3H18NWyUasw&s,Pavilion 15-cs0003nx,15.6,Intel Core i7-8550U,NVIDIA GeForce MX150 (4 GB),128.0,3779.0,0.0,HDD
170,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPzxlYARab0Vv5QhzzBfeAhd1KOKJK82BifRAbIS3Owuq7hq_uFqec7Ij753Y&s,15-bs007nx,15.6,Intel Core i3-6006U,Intel HD Graphics 520,1024.0,1779.0,0.0,HDD
171,Lenovo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZpm11cFtK-nA86CHTvft2t7lgn9R3xbjCNmc0GEWPpaZxSwQy5y8IyXfIaA&s,IdeaPad 320-15IKBRA,15.6,Intel Core i7-8550U,AMD Radeon 530 (4 GB),2048.0,3149.0,0.0,HDD
172,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDpnZoDkm-nJJCUHtele20ZgM7XI0rbVoLVwXGn1GmH8XfIaULYOg6S0gI9w&s,ENVY 13-ad004nx,13.3,Intel Core i7-7500U,NVIDIA GeForce MX150 (2 GB),1024.0,6609.0,0.0,SSD
173,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHK1DNM5ZUzBDfO-X2vYW_UDkoxhZZxnVQEPFy8NRucG-WyovvQOxjzetPgA&s,Pavilion 14-bf102nx,14.0,Intel Core i5-8250U,NVIDIA GeForce GT 940MX (2 GB),1024.0,3039.0,0.0,HDD
174,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbKVT0EXbo2wa9UbPqhvXtGrua0ID_jX_X7SyZFCUjabjRYrvTgHcAEDOJ_OI&s,Inspiron 15 3567,15.6,Intel Core i7-7500U,AMD Radeon R5-M340 (2 GB),1024.0,2749.0,0.0,HDD
175,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBXUUpp-Fqm35cNqoZJ_zuIJSAKGcEApk8H7NXGRTb84cOk2eo1CIN4djc02Y&s,Inspiron 15 5567,15.6,Intel Core i7-7500U,AMD Radeon R7-M445 (4 GB),1024.0,3249.0,0.0,HDD
176,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSKW2CeASnQbkOYRqztg7Oa8KecKpTvwC6x7_oRAxne5G7WjuxnG0Kob-Q_sc&s,ENVY 13-ad001nx,13.3,Intel Core i5-7200U,Intel Graphics 620,256.0,3989.0,4.1,SSD
177,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSWNgM4hTAKozcGSBWoPwZn7LrEs1aRakWuRuhyMux_3vR_el8doPEI-JU9v2k&s,ENVY 17-ae003nx,17.3,Intel Core i7-7500U,NVIDIA GeForce 940MX (4 GB),256.0,6199.0,0.0,HDD
178,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeW9yIAtBmQwiG62nl-aRj39AM7VjROI_raqo1Wt8PGbmCz5boolITBwx6Mg&s,15-bs006nx,15.6,Intel Core i3-6006U,Intel HD Graphics 520,1024.0,1779.0,3.6,HDD
179,Dell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6sL5yUVldDu3l2zDKMseuB3srt3mG_5tAHd8GoPhl-Dcl44ROCKY4AvcQvmA&s,XPS 15,15.6,Intel Core i7-8750H,NVIDIA GeForce GTX 1050 Ti (4 GB),512.0,8999.0,0.0,SSD
180,Acer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQcqbtBf24M_Dytr21xDeUcC7Ar44MUpJI57szTGh1PYku3FPrf-b8oJBqy0E&s,Aspire A315-51,15.6,Intel Core i3-6006U,Intel HD Graphics 520,500.0,1649.0,3.9,HDD
181,HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm64IdcpYbJkPPEkQhVO8Is_SPO_or4kcDtvjykFCACCmUfBlHW9wOy0h-qi0&s,Pavilion 13-an0000nx,13.3,Intel Core i5-8265U,Intel UHD Graphics 620,128.0,3149.0,0.0,SSD
